C,n_iter,log(C),Mean,Error
75,150,1.875061263,0.9044,0.007235645849
80,150,1.903089987,0.9044,0.007204141321
90,150,1.954242509,0.90435,0.007238600847
100,150,2,0.9044,0.00733485735
150,150,2.176091259,0.9045,0.007370078178
200,150,2.301029996,0.9049,0.00751588243
500,150,2.698970004,0.9052,0.007617101628
750,150,2.875061263,0.90525,0.007785257685
900,150,2.954242509,0.9054,0.007708944623
10000,150,4,0.9055,0.007653408603
1000,150,3,0.90535,0.007583213758
2000,150,3.301029996,0.9051,0.0048
5000,150,3.698970004,0.9054,0.007430656986
7500,150,3.875061263,0.9055,0.007646534479
8000,150,3.903089987,0.9052,0.004632493929
8500,150,3.929418926,0.90545,0.004696807426
9000,150,3.954242509,0.9055,0.007418208136
10000,150,4,0.9055,0.007653408603